food_item,category,kg_co2_per_kg,source,region,production_method,confidence_score
beef,meat,60.0,FAO,global,conventional,0.95
lamb,meat,39.2,FAO,global,conventional,0.90
cheese,dairy,13.5,DEFRA,global,conventional,0.85
pork,meat,7.2,EPA,global,conventional,0.90
chicken,meat,6.1,FAO,global,conventional,0.92
farmed_fish,seafood,5.1,FAO,global,conventional,0.80
eggs,dairy,4.2,DEFRA,global,free_range,0.88
milk,dairy,3.2,FAO,global,conventional,0.90
rice,grains,2.7,IPCC,global,conventional,0.85
wheat_bread,grains,1.4,DEFRA,global,conventional,0.88
potatoes,vegetables,0.5,FAO,global,conventional,0.85
tomatoes,vegetables,2.1,DEFRA,global,greenhouse,0.80
bananas,fruits,0.9,FAO,global,conventional,0.85
apples,fruits,0.4,DEFRA,temperate,conventional,0.88
avocados,fruits,2.5,Carbon_Trust,global,conventional,0.75
almonds,nuts,8.3,Water_Footprint,california,conventional,0.70
coffee,beverages,17.0,Rainforest_Alliance,global,conventional,0.80
dark_chocolate,processed,25.2,Fair_Trade,global,conventional,0.75
beer,beverages,1.3,Carbon_Trust,global,conventional,0.85
wine,beverages,1.8,Carbon_Trust,global,conventional,0.80
tofu,meat_alternatives,2.0,FAO,global,conventional,0.88
quinoa,grains,3.5,Carbon_Trust,south_america,organic,0.75
olive_oil,oils,6.1,DEFRA,mediterranean,conventional,0.82
coconut_oil,oils,3.4,Carbon_Trust,tropical,conventional,0.78
salmon_wild,seafood,2.3,FAO,global,wild_caught,0.85
tuna,seafood,6.1,FAO,global,wild_caught,0.80
shrimp_farmed,seafood,18.0,FAO,global,farmed,0.75
pasta,grains,1.1,DEFRA,global,conventional,0.90
yogurt,dairy,2.2,FAO,global,conventional,0.88
ice_cream,dairy,4.0,Carbon_Trust,global,conventional,0.85 
